type,system_code,system_term,system_defenition,system_display
service-type,373,Intensive Mobile You,Intensive Mobile Youth Outreach Services (Imyos),http://terminology.hl7.org/CodeSystem/service-type
service-type,374,Intervention,Intervention,http://terminology.hl7.org/CodeSystem/service-type
service-type,375,Job Searching,Job Searching,http://terminology.hl7.org/CodeSystem/service-type
service-type,376,Justice,Justice,http://terminology.hl7.org/CodeSystem/service-type
service-type,377,Leisure,Leisure,http://terminology.hl7.org/CodeSystem/service-type
service-type,378,Loans,Loans,http://terminology.hl7.org/CodeSystem/service-type
service-type,379,Low Income Earners,Low Income Earners,http://terminology.hl7.org/CodeSystem/service-type
service-type,380,Lung,Lung,http://terminology.hl7.org/CodeSystem/service-type
service-type,381,Making A Difference,Making A Difference,http://terminology.hl7.org/CodeSystem/service-type
service-type,382,Medical Services,Medical Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,383,Medical Specialists,Medical Specialists,http://terminology.hl7.org/CodeSystem/service-type
service-type,384,Medication Administr,Medication Administration,http://terminology.hl7.org/CodeSystem/service-type
service-type,385,Menstrual Informatio,Menstrual Information,http://terminology.hl7.org/CodeSystem/service-type
service-type,386,Methadone,Methadone,http://terminology.hl7.org/CodeSystem/service-type
service-type,387,Mobile Support And T,Mobile Support And Treatment Services (MSTS),http://terminology.hl7.org/CodeSystem/service-type
service-type,388,Motor Neurone,Motor Neurone,http://terminology.hl7.org/CodeSystem/service-type
service-type,389,Multiple Sclerosis,Multiple Sclerosis,http://terminology.hl7.org/CodeSystem/service-type
service-type,390,Neighbourhood House,Neighbourhood House,http://terminology.hl7.org/CodeSystem/service-type
service-type,391,Nursing Home,Nursing Home,http://terminology.hl7.org/CodeSystem/service-type
service-type,392,Nursing Mothers,Nursing Mothers,http://terminology.hl7.org/CodeSystem/service-type
service-type,393,Obesity,Obesity,http://terminology.hl7.org/CodeSystem/service-type
service-type,394,Occupational Health,Occupational Health & Safety,http://terminology.hl7.org/CodeSystem/service-type
service-type,395,Optometrist,Optometrist,http://terminology.hl7.org/CodeSystem/service-type
service-type,396,Oral Hygiene,Oral Hygiene,http://terminology.hl7.org/CodeSystem/service-type
service-type,397,Outpatients,Outpatients,http://terminology.hl7.org/CodeSystem/service-type
service-type,398,Outreach Service,Outreach Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,399,PADP,PADP,http://terminology.hl7.org/CodeSystem/service-type
service-type,400,Pain,Pain,http://terminology.hl7.org/CodeSystem/service-type
service-type,401,Pap Smear,Pap Smear,http://terminology.hl7.org/CodeSystem/service-type
service-type,402,Parenting,Parenting,http://terminology.hl7.org/CodeSystem/service-type
service-type,403,Peak Organizations,Peak Organizations,http://terminology.hl7.org/CodeSystem/service-type
service-type,404,Personal Care,Personal Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,405,Pharmacies,Pharmacies,http://terminology.hl7.org/CodeSystem/service-type
service-type,406,Phobias,Phobias,http://terminology.hl7.org/CodeSystem/service-type
service-type,407,Physical,Physical,http://terminology.hl7.org/CodeSystem/service-type
service-type,408,Physical Activity,Physical Activity,http://terminology.hl7.org/CodeSystem/service-type
service-type,409,Postnatal,Postnatal,http://terminology.hl7.org/CodeSystem/service-type
service-type,410,Pregnancy,Pregnancy,http://terminology.hl7.org/CodeSystem/service-type
service-type,411,Pregnancy Tests,Pregnancy Tests,http://terminology.hl7.org/CodeSystem/service-type
service-type,412,Preschool,Preschool,http://terminology.hl7.org/CodeSystem/service-type
service-type,413,Prescriptions,Prescriptions,http://terminology.hl7.org/CodeSystem/service-type
service-type,414,Primary Mental Healt,Primary Mental Health And Early Intervention Teams,http://terminology.hl7.org/CodeSystem/service-type
service-type,415,Property Maintenance,Property Maintenance,http://terminology.hl7.org/CodeSystem/service-type
service-type,416,Prostate,Prostate,http://terminology.hl7.org/CodeSystem/service-type
service-type,417,Psychiatric,Psychiatric,http://terminology.hl7.org/CodeSystem/service-type
service-type,418,Psychiatric Disabili,Psychiatric Disability Support Services - Home-Based Outreach,http://terminology.hl7.org/CodeSystem/service-type
service-type,419,Psychiatric Disabili,Psychiatric Disability Support Services - Planned Respite,http://terminology.hl7.org/CodeSystem/service-type
service-type,420,Psychiatric Disabili,Psychiatric Disability Support Services - Residential Rehabilitation,http://terminology.hl7.org/CodeSystem/service-type
service-type,421,Psychiatric Disabili,Psychiatric Disability Support Services Home-Based Outreach,http://terminology.hl7.org/CodeSystem/service-type
service-type,422,Psychiatric Disabili,Psychiatric Disability Support Services Mutual Support And Self Help,http://terminology.hl7.org/CodeSystem/service-type
service-type,423,Psychiatric Support,Psychiatric Support,http://terminology.hl7.org/CodeSystem/service-type
service-type,424,Recreation,Recreation,http://terminology.hl7.org/CodeSystem/service-type
service-type,425,Referral,Referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,426,Refuge,Refuge,http://terminology.hl7.org/CodeSystem/service-type
service-type,427,Rent Assistance,Rent Assistance,http://terminology.hl7.org/CodeSystem/service-type
service-type,428,Residential Faciliti,Residential Facilities,http://terminology.hl7.org/CodeSystem/service-type
service-type,429,Residential Respite,Residential Respite,http://terminology.hl7.org/CodeSystem/service-type
service-type,430,Respiratory,Respiratory,http://terminology.hl7.org/CodeSystem/service-type
service-type,431,Response,Response,http://terminology.hl7.org/CodeSystem/service-type
service-type,432,Rooming Houses,Rooming Houses,http://terminology.hl7.org/CodeSystem/service-type
service-type,433,Safe Sex,Safe Sex,http://terminology.hl7.org/CodeSystem/service-type
service-type,434,Secure Extended Care,Secure Extended Care Inpatient Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,435,Self Help,Self Help,http://terminology.hl7.org/CodeSystem/service-type
service-type,436,Separation,Separation,http://terminology.hl7.org/CodeSystem/service-type
service-type,437,Services,Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,438,Sex Education,Sex Education,http://terminology.hl7.org/CodeSystem/service-type
service-type,439,Sexual Abuse,Sexual Abuse,http://terminology.hl7.org/CodeSystem/service-type
service-type,440,Sexual Issues,Sexual Issues,http://terminology.hl7.org/CodeSystem/service-type
service-type,441,Sexually Transmitted,Sexually Transmitted Diseases,http://terminology.hl7.org/CodeSystem/service-type
service-type,442,SIDS,SIDS,http://terminology.hl7.org/CodeSystem/service-type
service-type,443,Social Support,Social Support,http://terminology.hl7.org/CodeSystem/service-type
service-type,444,Socialisation,Socialisation,http://terminology.hl7.org/CodeSystem/service-type
service-type,445,Special Needs,Special Needs,http://terminology.hl7.org/CodeSystem/service-type
service-type,446,Speech Therapist,Speech Therapist,http://terminology.hl7.org/CodeSystem/service-type
service-type,447,Splinting,Splinting,http://terminology.hl7.org/CodeSystem/service-type
service-type,448,Sport,Sport,http://terminology.hl7.org/CodeSystem/service-type
service-type,449,Statewide And Specia,Statewide And Specialist Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,450,STD,STD,http://terminology.hl7.org/CodeSystem/service-type
service-type,451,STI,STI,http://terminology.hl7.org/CodeSystem/service-type
service-type,452,Stillbirth,Stillbirth,http://terminology.hl7.org/CodeSystem/service-type
service-type,453,Stomal Care,Stomal Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,454,Stroke,Stroke,http://terminology.hl7.org/CodeSystem/service-type
service-type,455,Substance Abuse,Substance Abuse,http://terminology.hl7.org/CodeSystem/service-type
service-type,456,Support,Support,http://terminology.hl7.org/CodeSystem/service-type
service-type,457,Syringes,Syringes,http://terminology.hl7.org/CodeSystem/service-type
service-type,458,Teeth,Teeth,http://terminology.hl7.org/CodeSystem/service-type
service-type,459,Tenancy Advice,Tenancy Advice,http://terminology.hl7.org/CodeSystem/service-type
service-type,460,Terminal Illness,Terminal Illness,http://terminology.hl7.org/CodeSystem/service-type
service-type,461,Therapy,Therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,462,Transcription,Transcription,http://terminology.hl7.org/CodeSystem/service-type
service-type,463,Translating Services,Translating Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,464,Translator,Translator,http://terminology.hl7.org/CodeSystem/service-type
service-type,465,Transport,Transport,http://terminology.hl7.org/CodeSystem/service-type
service-type,466,Vertebrae,Vertebrae,http://terminology.hl7.org/CodeSystem/service-type
service-type,467,Violence,Violence,http://terminology.hl7.org/CodeSystem/service-type
service-type,468,Vocational Guidance,Vocational Guidance,http://terminology.hl7.org/CodeSystem/service-type
service-type,469,Weight,Weight,http://terminology.hl7.org/CodeSystem/service-type
service-type,470,Welfare Assistance,Welfare Assistance,http://terminology.hl7.org/CodeSystem/service-type
service-type,471,Welfare Counselling,Welfare Counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,472,Wheelchairs,Wheelchairs,http://terminology.hl7.org/CodeSystem/service-type
service-type,473,Wound Management,Wound Management,http://terminology.hl7.org/CodeSystem/service-type
service-type,474,Young People At Risk,Young People At Risk,http://terminology.hl7.org/CodeSystem/service-type
service-type,475,Further Desc. - Community Health Care,Further Description - Community Health Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,476,Library,Library,http://terminology.hl7.org/CodeSystem/service-type
service-type,477,Community Hours,Community Hours,http://terminology.hl7.org/CodeSystem/service-type
service-type,478,Further Desc. - Specialist Medical,Further Description - Specialist Medical,http://terminology.hl7.org/CodeSystem/service-type
service-type,479,Hepatology,Hepatology,http://terminology.hl7.org/CodeSystem/service-type
service-type,480,Gastroenterology,Gastroenterology,http://terminology.hl7.org/CodeSystem/service-type
service-type,481,Gynaecology,Gynaecology,http://terminology.hl7.org/CodeSystem/service-type
service-type,482,Obstetrics,Obstetrics,http://terminology.hl7.org/CodeSystem/service-type
service-type,483,Further Desc. - Specialist Surgical,Further Description - Specialist Surgical,http://terminology.hl7.org/CodeSystem/service-type
service-type,484,Placement Protection,Placement Protection,http://terminology.hl7.org/CodeSystem/service-type
service-type,485,Family Violence,Family Violence,http://terminology.hl7.org/CodeSystem/service-type
service-type,486,Integrated Family Services,Integrated Family Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,488,Diabetes Educator,Diabetes Educator,http://terminology.hl7.org/CodeSystem/service-type
service-type,489,Kinship Care,Kinship Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,490,General Mental Health Services,General Mental Health Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,491,Exercise Physiology,Exercise Physiology,http://terminology.hl7.org/CodeSystem/service-type
service-type,492,Medical Research,Medical Research,http://terminology.hl7.org/CodeSystem/service-type
service-type,493,Youth,Youth,http://terminology.hl7.org/CodeSystem/service-type
service-type,494,Youth Services,Youth Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,495,Youth Health,Youth Health,http://terminology.hl7.org/CodeSystem/service-type
service-type,496,Child and Family Ser,Child and Family Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,497,Home Visits,Home Visits,http://terminology.hl7.org/CodeSystem/service-type
service-type,498,Mobile Services,Mobile Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,500,Before and/or After,Before and/or After School Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,501,Cancer Services,Cancer Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,502,Integrated Cancer Se,Integrated Cancer Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,503,Multidisciplinary Se,Multidisciplinary Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,504,Multidisciplinary Ca,Multidisciplinary Cancer Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,505,Meetings,Meetings,http://terminology.hl7.org/CodeSystem/service-type
service-type,506,Blood pressure monit,Blood pressure monitoring,http://terminology.hl7.org/CodeSystem/service-type
service-type,507,Dose administration,Dose administration aid,http://terminology.hl7.org/CodeSystem/service-type
service-type,508,Medical Equipment Hi,Medical Equipment Hire,http://terminology.hl7.org/CodeSystem/service-type
service-type,509,Parenting/Family Support/Education,Parenting & family support/education,http://terminology.hl7.org/CodeSystem/service-type
service-type,510,Deputising Service,Deputising Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,513,Cancer Support Groups,Cancer Support Groups,http://terminology.hl7.org/CodeSystem/service-type
service-type,514,Community Cancer Services,Community Cancer Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,530,Disability Care Transport,Disability Care Transport,http://terminology.hl7.org/CodeSystem/service-type
service-type,531,Aged Care Transport,Aged Care Transport,http://terminology.hl7.org/CodeSystem/service-type
service-type,532,Diabetes Education s,Diabetes Education service,http://terminology.hl7.org/CodeSystem/service-type
service-type,533,Cardiac Rehabilitati,Cardiac Rehabilitation Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,534,Young Adult Diabetes,Young Adult Diabetes services (YADS),http://terminology.hl7.org/CodeSystem/service-type
service-type,535,Pulmonary Rehabilita,Pulmonary Rehabilitation Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,536,Art therapy,Art therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,537,Medication Reviews,Medication Reviews,http://terminology.hl7.org/CodeSystem/service-type
service-type,538,Telephone Counselling,Telephone Counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,539,Telephone Help Line,Telephone Help Line,http://terminology.hl7.org/CodeSystem/service-type
service-type,540,Online Service,Online Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,541,Crisis - Mental Health,Crisis - Mental Health,http://terminology.hl7.org/CodeSystem/service-type
service-type,542,Youth Crisis,Youth Crisis,http://terminology.hl7.org/CodeSystem/service-type
service-type,543,Sexual Assault,Sexual Assault,http://terminology.hl7.org/CodeSystem/service-type
service-type,544,GPAH Other,GPAH Other,http://terminology.hl7.org/CodeSystem/service-type
service-type,545,Paediatric Dermatology,Paediatric Dermatology,http://terminology.hl7.org/CodeSystem/service-type
service-type,546,Veterans Services,Veterans Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,547,Veterans,Veterans,http://terminology.hl7.org/CodeSystem/service-type
service-type,548,Food Relief/Food/Meals,Food Relief/food/meals,http://terminology.hl7.org/CodeSystem/service-type
service-type,550,Dementia Care,Dementia Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,551,Alzheimer,Alzheimer,http://terminology.hl7.org/CodeSystem/service-type
service-type,552,Drug and/or Alcohol Support Groups,Drug and/or alcohol support groups,http://terminology.hl7.org/CodeSystem/service-type
service-type,553,1-on-1 Support /Mentoring /Coaching,One on One Support/Mentoring/Coaching,http://terminology.hl7.org/CodeSystem/service-type
service-type,554,Chronic Disease Management,Chronic Disease Management,http://terminology.hl7.org/CodeSystem/service-type
service-type,555,Liaison Services,Liaison Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,556,Walk-in Centre /Non-Emergency,Walk in Centre / non emergency,http://terminology.hl7.org/CodeSystem/service-type
service-type,557,Inpatients,Inpatients,http://terminology.hl7.org/CodeSystem/service-type
service-type,558,Spiritual Counselling,Spiritual Counselling,http://terminology.hl7.org/CodeSystem/service-type
service-type,559,Women's Health,Women's Health,http://terminology.hl7.org/CodeSystem/service-type
service-type,560,Men's Health,Men's Health,http://terminology.hl7.org/CodeSystem/service-type
service-type,561,Health Education/Awareness Program,Health education/Health awareness program,http://terminology.hl7.org/CodeSystem/service-type
service-type,562,Test Message,Test Message,http://terminology.hl7.org/CodeSystem/service-type
service-type,563,Remedial Massage,Remedial Massage,http://terminology.hl7.org/CodeSystem/service-type
service-type,564,Adolescent Mental Health Services,Adolescent Mental Health Services,http://terminology.hl7.org/CodeSystem/service-type
service-type,565,Youth Drop In/Assistance/Support,Youth drop in/assistance/support,http://terminology.hl7.org/CodeSystem/service-type
service-type,566,Aboriginal Health Worker,Aboriginal Health Worker,http://terminology.hl7.org/CodeSystem/service-type
service-type,567,Women's Health Clinic,Women's Health Clinic,http://terminology.hl7.org/CodeSystem/service-type
service-type,568,Men's Health Clinic,Men's Health Clinic,http://terminology.hl7.org/CodeSystem/service-type
service-type,569,Migrant Health Clinic,Migrant Health Clinic,http://terminology.hl7.org/CodeSystem/service-type
service-type,570,Refugee Health Clinic,Refugee Health Clinic,http://terminology.hl7.org/CodeSystem/service-type
service-type,571,Aboriginal Health Clinic,Aboriginal Health Clinic,http://terminology.hl7.org/CodeSystem/service-type
service-type,572,Nurse Practitioner Lead Clinic/s,Nurse Practitioner lead Clinic/s,http://terminology.hl7.org/CodeSystem/service-type
service-type,573,Nurse Lead Clinic/s,Nurse lead Clinic/s,http://terminology.hl7.org/CodeSystem/service-type
service-type,574,Culturally Tailored Support Groups,Culturally tailored support groups,http://terminology.hl7.org/CodeSystem/service-type
service-type,575,Culturally Tailored Health Promotion,Culturally tailored health promotion,http://terminology.hl7.org/CodeSystem/service-type
service-type,576,Rehabilitation,Rehabilitation,http://terminology.hl7.org/CodeSystem/service-type
service-type,577,Education Information/Referral,Education information/referral,http://terminology.hl7.org/CodeSystem/service-type
service-type,580,Social Work,Social Work,http://terminology.hl7.org/CodeSystem/service-type
service-type,581,Haematology,Haematology,http://terminology.hl7.org/CodeSystem/service-type
service-type,582,Maternity Shared Car,Maternity Shared Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,583,Rehabilitation Servi,Rehabilitation Service,http://terminology.hl7.org/CodeSystem/service-type
service-type,584,Cranio-sacral Therapy,Cranio-Sacral Therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,585,Prosthetics & Orthotics,Prosthetics & Orthotics,http://terminology.hl7.org/CodeSystem/service-type
service-type,589,Home Medicine Review,Home Medicine Review,http://terminology.hl7.org/CodeSystem/service-type
service-type,590,GPAH - Medical,GPAH - Medical,http://terminology.hl7.org/CodeSystem/service-type
service-type,591,Music Therapy,Music Therapy,http://terminology.hl7.org/CodeSystem/service-type
service-type,593,Falls Prevention,Falls Prevention,http://terminology.hl7.org/CodeSystem/service-type
service-type,599,Accommodation/Tenancy,Accommodation/Tenancy,http://terminology.hl7.org/CodeSystem/service-type
service-type,600,"Assess-Skill, Ability, Needs","Assess-Skill, Ability, Needs",http://terminology.hl7.org/CodeSystem/service-type
service-type,601,Assist Access/Maintain Employ,Assist Access/Maintain Employ,http://terminology.hl7.org/CodeSystem/service-type
service-type,602,Assist Prod-Pers Care/Safety,Assist Prod-Pers Care/Safety,http://terminology.hl7.org/CodeSystem/service-type
service-type,603,Assist-Integrate School/Ed,Assist-Integrate School/Ed,http://terminology.hl7.org/CodeSystem/service-type
service-type,604,"Assist-Life Stage, Transition","Assist-Life Stage, Transition",http://terminology.hl7.org/CodeSystem/service-type
service-type,605,Assist-Personal Activities,Assist-Personal Activities,http://terminology.hl7.org/CodeSystem/service-type
service-type,606,Assist-Travel/Transport,Assist-Travel/Transport,http://terminology.hl7.org/CodeSystem/service-type
service-type,607,Assistive Equip-General Tasks,Assistive Equip-General Tasks,http://terminology.hl7.org/CodeSystem/service-type
service-type,608,Assistive Equip-Recreation,Assistive Equip-Recreation,http://terminology.hl7.org/CodeSystem/service-type
service-type,609,Assistive Prod-Household Task,Assistive Prod-Household Task,http://terminology.hl7.org/CodeSystem/service-type
service-type,610,Behavior Support,Behavior Support,http://terminology.hl7.org/CodeSystem/service-type
service-type,611,Comms & Info Equipment,Comms & Info Equipment,http://terminology.hl7.org/CodeSystem/service-type
service-type,612,Community Nursing Care,Community Nursing Care,http://terminology.hl7.org/CodeSystem/service-type
service-type,613,Daily Tasks/Shared Living,Daily Tasks/Shared Living,http://terminology.hl7.org/CodeSystem/service-type
service-type,614,Development-Life Skills,Development-Life Skills,http://terminology.hl7.org/CodeSystem/service-type
service-type,615,Early Childhood Supports,Early Childhood Supports,http://terminology.hl7.org/CodeSystem/service-type
service-type,616,Equipment Special Assess Setup,Equipment Special Assess Setup,http://terminology.hl7.org/CodeSystem/service-type
service-type,617,Hearing Equipment,Hearing Equipment,http://terminology.hl7.org/CodeSystem/service-type
service-type,618,Home Modification,Home Modification,http://terminology.hl7.org/CodeSystem/service-type
service-type,619,Household Tasks,Household Tasks,http://terminology.hl7.org/CodeSystem/service-type
service-type,620,Interpret/Translate,Interpret/Translate,http://terminology.hl7.org/CodeSystem/service-type
service-type,621,Other Innovative Supports,Other Innovative Supports,http://terminology.hl7.org/CodeSystem/service-type
service-type,622,Participate Community,Participate Community,http://terminology.hl7.org/CodeSystem/service-type
service-type,623,Personal Mobility Equipment,Personal Mobility Equipment,http://terminology.hl7.org/CodeSystem/service-type
service-type,624,Physical Wellbeing,Physical Wellbeing,http://terminology.hl7.org/CodeSystem/service-type
service-type,625,Plan Management,Plan Management,http://terminology.hl7.org/CodeSystem/service-type
service-type,626,Therapeutic Supports,Therapeutic Supports,http://terminology.hl7.org/CodeSystem/service-type
service-type,627,Training-Travel Independence,Training-Travel Independence,http://terminology.hl7.org/CodeSystem/service-type
service-type,628,Vehicle modifications,Vehicle modifications,http://terminology.hl7.org/CodeSystem/service-type
service-type,629,Vision Equipment,Vision Equipment,http://terminology.hl7.org/CodeSystem/service-type
medicationrequest-status,altchoice,Try another treatment first,This therapy has been ordered as a backup to a preferred therapy. This order will be released when and if the preferred therapy is unsuccessful.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,clarif,Prescription requires clarification,Clarification is required before the order can be acted upon.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,drughigh,Drug level too high,The current level of the medication in the patient's system is too high. The medication is suspended to allow the level to subside to a safer level.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,hospadm,Admission to hospital,The patient has been admitted to a care facility and their community medications are suspended until hospital discharge.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,labint,Lab interference issues,The therapy would interfere with a planned lab test and the therapy is being withdrawn until the test is completed.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,non-avail,Patient not available,"Patient not available for a period of time due to a scheduled therapy, leave of absence or other reason.",http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,preg,Parent is pregnant/breast feeding,The patient is pregnant or breast feeding. The therapy will be resumed when the pregnancy is complete and the patient is no longer breastfeeding.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,salg,Allergy,The patient is believed to be allergic to a substance that is part of the therapy and the therapy is being temporarily withdrawn to confirm.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,sddi,Drug interacts with another drug,The drug interacts with a short-term treatment that is more urgently required. This order will be resumed when the short-term treatment is complete.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,sdupther,Duplicate therapy,The drug interacts with a short-term treatment that is more urgently required. This order will be resumed when the short-term treatment is complete.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,sintol,Suspected intolerance,The drug interacts with a short-term treatment that is more urgently required. This order will be resumed when the short-term treatment is complete.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,surg,Patient scheduled for surgery.,The drug is contraindicated for patients receiving surgery and the patient is scheduled to be admitted for surgery in the near future. The drug will be resumed when the patient has sufficiently recovered from the surgery.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
medicationrequest-status,washout,Waiting for old drug to wash out,The patient was previously receiving a medication contraindicated with the current medication. The current medication will remain on hold until the prior medication has been cleansed from their system.,http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason
allergyintolerance-verification,unconfirmed,Unconfirmed,The propensity for a reaction to the identified substance has not been objectively verified.,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification
allergyintolerance-verification,confirmed,Confirmed,"The propensity for a reaction to the identified substance has been objectively verified (which may include clinical evidence by testing, rechallenge, or observation).",http://terminology.hl7.org/CodeSystem/allergyintolerance-verification
allergyintolerance-verification,refuted,Refuted,A propensity for a reaction to the identified substance has been disputed or disproven with a sufficient level of clinical certainty to justify invalidating the assertion. This might or might not include testing or rechallenge.,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification
allergyintolerance-verification,entered-in-error,Entered in Error,The statement was entered in error and is not valid.,http://terminology.hl7.org/CodeSystem/allergyintolerance-verification
observation-category,social-history,Social History,"Social History Observations define the patient's occupational, personal (e.g., lifestyle), social, familial, and environmental history and health risk factors that may impact the patient's health.",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,vital-signs,Vital Signs,"Clinical observations measure the body's basic functions such as blood pressure, heart rate, respiratory rate, height, weight, body mass index, head circumference, pulse oximetry, temperature, and body surface area.",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,imaging,Imaging,"Observations generated by imaging. The scope includes observations regarding plain x-ray, ultrasound, CT, MRI, angiography, echocardiography, and nuclear medicine.",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,laboratory,Laboratory,"The results of observations generated by laboratories. Laboratory results are typically generated by laboratories providing analytic services in areas such as chemistry, hematology, serology, histology, cytology, anatomic pathology (including digital pathology), microbiology, and/or virology. These observations are based on analysis of specimens obtained from the patient and submitted to the laboratory.",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,procedure,Procedure,"Observations generated by other procedures. This category includes observations resulting from interventional and non-interventional procedures excluding laboratory and imaging (e.g., cardiology catheterization, endoscopy, electrodiagnostics, etc.). Procedure results are typically generated by a clinician to provide more granular information about component observations made during a procedure. An example would be when a gastroenterologist reports the size of a polyp observed during a colonoscopy.",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,survey,Survey,"Assessment tool/survey instrument observations (e.g., Apgar Scores, Montreal Cognitive Assessment (MoCA)).",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,exam,Exam,Observations generated by physical exam findings including direct observations made by a clinician and use of simple instruments and the result of simple maneuvers performed directly on the patient's body.,http://terminology.hl7.org/CodeSystem/observation-category
observation-category,therapy,Therapy,"Observations generated by non-interventional treatment protocols (e.g. occupational, physical, radiation, nutritional and medication therapy)",http://terminology.hl7.org/CodeSystem/observation-category
observation-category,activity,Activity,"Observations that measure or record any bodily activity that enhances or maintains physical fitness and overall health and wellness. Not under direct supervision of practitioner such as a physical therapist. (e.g., laps swum, steps, sleep data)",http://terminology.hl7.org/CodeSystem/observation-category
allergyintolerance-clinical,active,Active,"The subject is currently experiencing, or is at risk of, a reaction to the identified substance.",http://terminology.hl7.org/CodeSystem/allergyintolerance-clinical
allergyintolerance-clinical,inactive,Inactive,The subject is no longer at risk of a reaction to the identified substance.,http://terminology.hl7.org/CodeSystem/allergyintolerance-clinical
ReasonMedicationGivenCodes,a,,No reason known.,http://terminology.hl7.org/CodeSystem/reason-medication-given
ReasonMedicationGivenCodes,b,Given as Ordered,The administration was following an ordered protocol.,http://terminology.hl7.org/CodeSystem/reason-medication-given
ReasonMedicationGivenCodes,c,Emergency,The administration was needed to treat an emergency.,http://terminology.hl7.org/CodeSystem/reason-medication-given
DischargeDisposition,home,Home,The patient was dicharged and has indicated that they are going to return home afterwards.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,alt-home,Alternative home,"The patient was discharged and has indicated that they are going to return home afterwards, but not the patient's home - e.g. a family member's home.",http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,other-hcf,Other healthcare facility,The patient was transferred to another healthcare facility.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,hosp,Hospice,The patient has been discharged into palliative care.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,long,Long-term care,The patient has been discharged into long-term care where is likely to be monitored through an ongoing episode-of-care.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,aadvice,Left against advice,The patient self discharged against medical advice.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,exp,Expired,The patient has deceased during this encounter.,http://terminology.hl7.org/CodeSystem/discharge-disposition
DischargeDisposition,psy,Psychiatric hospital,The patient has been transferred to a psychiatric facility.,http://terminology.hl7.org/CodeSystem/discharge-disposition
